Comment,Designator,Footprint,LCSC
10k,R8,R_0402_1005Metric,
ECS-TXO-32CSMV-400-BN-TR,Y1,ECSTXO32CSMV400BNTR,
100n,C11,C_0201_0603Metric,
10k,R3,R_0402_1005Metric,
100n,C12,C_0201_0603Metric,
1u,C21,C_0402_1005Metric,
100n,C20,C_0201_0603Metric,
100n,C9,C_0201_0603Metric,
FPGA_DONE_G,D5,LED_0603_1608Metric,
ESP32-C6FH4,U3,QFN50P500X500X90-33N,
MIC5365-1.2YC5,U2,SOT-353_SC-70-5,
MCP1727-3302xMF,U1,DFN-8-1EP_3x3mm_P0.65mm_EP1.55x2.4mm,
10k,R7,R_0402_1005Metric,
10k,R6,R_0402_1005Metric,
10k,R5,R_0402_1005Metric,
10k,R4,R_0402_1005Metric,
5k1,R2,R_0402_1005Metric,
5k1,R1,R_0402_1005Metric,
USB4105-GF-A-060,J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,
ESD321,D4,D_0402_1005Metric_TVS,
ESD321,D3,D_0402_1005Metric_TVS,
ESD321,D2,D_0402_1005Metric_TVS,
1N4148W-TP,D1,D_SOD-123,
1u,C25,C_0402_1005Metric,
100n,C24,C_0201_0603Metric,
1u,C23,C_0402_1005Metric,
100n,C22,C_0201_0603Metric,
1u,C19,C_0402_1005Metric,
100n,C18,C_0201_0603Metric,
1u,C17,C_0402_1005Metric,
100n,C16,C_0201_0603Metric,
100n,C15,C_0201_0603Metric,
100n,C14,C_0201_0603Metric,
1u,C13,C_0402_1005Metric,
100n,C10,C_0201_0603Metric,
1u,C8,C_0402_1005Metric,
10u,C7,C_0402_1005Metric,
10n,C6,C_0201_0603Metric,
1u,C5,C_0402_1005Metric,
1u,C4,C_0402_1005Metric,
1u,C3,C_0402_1005Metric,
10u,C2,C_0402_1005Metric,
1u,C1,C_0402_1005Metric,
RIGHT,J3,PinSocket_1x10_P2.54mm_Vertical,
LEFT,J2,PinSocket_1x10_P2.54mm_Vertical,
W25Q80DVSNIG,U4,SOIC127P600X175-8N,
PL133-27GC-R,U6,SON40P200X130X60-7N-D,
ICE40LP384-SG32,U5,HVQFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm,
LQG15HZ2N0B02D,L1,L_0402_1005Metric,
100n,C30,C_0201_0603Metric,
1u,C29,C_0402_1005Metric,
100n,C28,C_0201_0603Metric,
1u,C27,C_0402_1005Metric,
100n,C26,C_0201_0603Metric,
