Comment,Designator,Footprint,LCSC
10k,R8,R_0402_1005Metric,
815-ABM8AIG-12MHZ1ZT,Y1,ABM8AIG25000MHZ122ZT3,
10n,C11,C_0201_0603Metric,
1M,R3,R_0402_1005Metric,
1u,C12,C_0402_1005Metric,
100n,C21,C_0201_0603Metric,
1u,C20,C_0402_1005Metric,
100n,C9,C_0201_0603Metric,
"MMBT3904-TP
",Q1,SOT-23,
10k,R10,R_0402_1005Metric,
CDONE,D5,D_0603_1608Metric,
ASFL1-100.000MHZ-L-T,Y2,ASFL1,
W25Q80DVSNIG,U3,SOIC127P600X175-8N,
MIC5365-1.2YC5,U2,SOT-353_SC-70-5,
BU33SD5WG-TR,U1,SOT95P280X125-5N,
10k,R11,R_0402_1005Metric,
10k,R9,R_0402_1005Metric,
10k,R7,R_0402_1005Metric,
10k,R6,R_0402_1005Metric,
10k,R5,R_0402_1005Metric,
10k,R4,R_0402_1005Metric,
5k1,R2,R_0402_1005Metric,
5k1,R1,R_0402_1005Metric,
USB4105-GF-A-060,J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,
MCP2210-I_MQ,IC1,QFN65P500X500X100-21N-D,
SC1006-01LTG,D4,D_SOD-523_TVS,
SC1006-01LTG,D3,D_SOD-523_TVS,
SC1006-01LTG,D2,D_SOD-523_TVS,
1N4148W-TP,D1,D_SOD-123,
100n,C25,C_0201_0603Metric,
1u,C24,C_0402_1005Metric,
100n,C23,C_0201_0603Metric,
1u,C22,C_0402_1005Metric,
100n,C19,C_0201_0603Metric,
1u,C18,C_0402_1005Metric,
100n,C17,C_0201_0603Metric,
1u,C16,C_0402_1005Metric,
100n,C15,C_0201_0603Metric,
1u,C14,C_0402_1005Metric,
100n,C13,C_0201_0603Metric,
100n,C10,C_0201_0603Metric,
24p,C8,C_0201_0603Metric,
24p,C7,C_0201_0603Metric,
100n,C6,C_0201_0603Metric,
1u,C5,C_0402_1005Metric,
1u,C4,C_0402_1005Metric,
1u,C3,C_0402_1005Metric,
1u,C2,C_0402_1005Metric,
1u,C1,C_0402_1005Metric,
RIGHT,J3,PinSocket_1x10_P2.54mm_Vertical,
LEFT,J2,PinSocket_1x10_P2.54mm_Vertical,
ICE40LP384-SG32,U4,HVQFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm,
