Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_0402_1005Metric,162.0,-85.6,0.0,top
C2,1u,C_0402_1005Metric,161.1,-91.1,180.0,top
C3,1u,C_0402_1005Metric,162.6,-119.82,90.0,top
C4,1u,C_0402_1005Metric,157.9,-119.7,180.0,top
C5,1u,C_0402_1005Metric,155.7,-92.4,45.0,top
C6,100n,C_0201_0603Metric,156.32579,-93.159135,45.0,top
C7,24p,C_0201_0603Metric,153.6,-92.3,90.0,top
C8,24p,C_0201_0603Metric,153.6,-95.9,-90.0,top
C9,100n,C_0201_0603Metric,161.0,-93.3,-45.0,top
C10,100n,C_0201_0603Metric,161.8,-100.7,90.0,top
C11,10n,C_0201_0603Metric,161.5,-117.5,135.0,top
C12,1u,C_0402_1005Metric,154.8,-117.6,-45.0,top
C13,100n,C_0201_0603Metric,155.379828,-116.765614,-45.0,top
C14,1u,C_0402_1005Metric,157.0,-117.3,-135.0,top
C15,100n,C_0201_0603Metric,157.859135,-117.982358,-135.0,top
C16,1u,C_0402_1005Metric,151.9,-114.5,-45.0,top
C17,100n,C_0201_0603Metric,151.1,-115.1,-45.0,top
C18,1u,C_0402_1005Metric,159.365685,-116.568528,-135.0,top
C19,100n,C_0201_0603Metric,158.8,-115.72,-135.0,top
C20,1u,C_0402_1005Metric,160.0,-109.6,-45.0,top
C21,100n,C_0201_0603Metric,159.2,-110.2,-45.0,top
C22,1u,C_0402_1005Metric,153.68,-107.8,180.0,top
C23,100n,C_0201_0603Metric,150.4,-111.6,-135.0,top
C24,1u,C_0402_1005Metric,151.0,-112.3,-135.0,top
C25,100n,C_0201_0603Metric,155.1,-108.3,45.0,top
D1,1N4148W-TP,D_SOD-123,151.9,-119.0,-135.0,top
D2,SC1006-01LTG,D_SOD-523_TVS,156.5,-88.3,180.0,top
D3,SC1006-01LTG,D_SOD-523_TVS,162.2,-81.2,-90.0,top
D4,SC1006-01LTG,D_SOD-523_TVS,153.7,-87.4,0.0,top
D5,CDONE,D_0603_1608Metric,150.7,-106.5,-90.0,top
IC1,MCP2210-I_MQ,QFN65P500X500X100-21N-D,158.6,-95.9,45.0,top
J1,USB4105-GF-A-060,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,156.01,-79.795,180.0,top
J2,LEFT,PinSocket_1x10_P2.54mm_Vertical,147.09,-99.95,0.0,top
J3,RIGHT,PinSocket_1x10_P2.54mm_Vertical,164.89,-99.93,0.0,top
Q1,"MMBT3904-TP
",SOT-23,147.8,-117.35,0.0,top
R1,5k1,R_0402_1005Metric,157.7,-85.4,-90.0,top
R2,5k1,R_0402_1005Metric,153.8,-85.3,180.0,top
R3,1M,R_0402_1005Metric,154.4,-94.2,90.0,top
R4,10k,R_0402_1005Metric,162.3,-102.3,180.0,top
R5,10k,R_0402_1005Metric,152.7,-103.7,0.0,top
R6,10k,R_0402_1005Metric,162.3,-103.6,0.0,top
R7,10k,R_0402_1005Metric,153.0,-100.6,90.0,top
R8,10k,R_0402_1005Metric,151.009999,-109.4,180.0,top
R9,10k,R_0402_1005Metric,148.8,-114.3,90.0,top
R10,10k,R_0402_1005Metric,150.0,-103.8875,-90.0,top
R11,10k,R_0402_1005Metric,146.8,-114.25,90.0,top
U1,BU33SD5WG-TR,SOT95P280X125-5N,160.6,-88.4,-90.0,top
U2,MIC5365-1.2YC5,SOT-353_SC-70-5,160.5,-119.7,180.0,top
U3,W25Q80DVSNIG,SOIC127P600X175-8N,157.5,-103.0,0.0,top
U4,ICE40LP384-SG32,HVQFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm,156.0,-112.43899,-135.0,top
Y1,815-ABM8AIG-12MHZ1ZT,ABM8AIG25000MHZ122ZT3,151.225,-94.4,90.0,top
Y2,ASFL1-100.000MHZ-L-T,ASFL1,163.3,-115.8,135.0,top
